validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoREG-lags_28-trend_n-seasonal_False,0.126997709274292,4.339079585123801,2.349287776800857,4.926108797917552,1.2142850423802307,1.646962875778386,2.9537520326438265,3.4106699950475607,5.747025487945523,4.044847218677447,2.490416573282569,1.475272363806388,3.1452461590367404,1.4868421296200582
p01,AutoREG-lags_28-trend_t-seasonal_False,0.1203622817993164,3.943607046389125,2.70603481508201,5.9833851808608,2.5472775742590215,0.8215210341593591,4.2499626204577154,4.299621195165522,5.316898739599628,3.184456508577054,2.157484762571087,1.526580691357084,3.3397118334980367,1.5840751831164663
p01,AutoREG-lags_3-trend_c-seasonal_False,0.10626482963562012,4.646854770752363,2.3201091684070674,4.310197573422977,1.2378010885068664,2.664603745110447,2.1676216625122393,2.7202552997206277,6.978550998012706,6.131494148757441,3.8917344942372996,3.4346700340221097,3.6821720894056496,1.7429931739604396
p01,AutoREG-lags_3-trend_ct-seasonal_False,0.10613369941711426,4.752552193449713,2.602404093421153,4.439945680923639,1.2457351741200553,1.9228785552890426,2.2828947936509083,2.726238117321483,7.155265407987967,6.223402178380683,3.700175896477659,3.3579881113484675,3.673589109306434,1.8279440694235713
p01,AutoREG-lags_3-trend_n-seasonal_False,0.10632824897766113,4.646854770749003,2.2998301866132707,5.387136292611733,1.2530464310347504,0.7677620810434984,3.0929832988724653,3.7754724766853327,5.73071030080042,3.737818439021987,2.194550391021039,1.5637922948477279,3.1318142693910205,1.6753207412603033
p01,AutoREG-lags_3-trend_t-seasonal_False,0.10613203048706055,4.7525521934496835,2.881917047852813,6.622046726672674,2.5598275556668053,1.3881099041705285,4.382541558188668,4.75637745257414,5.368165326389931,2.93885349900544,1.8615716132165958,1.6595670110427616,3.5610481716572764,1.709825423242534
p01,AutoREG-lags_32-trend_c-seasonal_False,0.1167442798614502,3.928256288982425,2.310692857161479,4.1116218172084835,0.9438715532575119,3.6245336673371313,2.2162720541578564,2.625999400855967,6.778861717049809,6.935519039436496,5.20956513580674,5.011395954240658,3.9724172259540507,1.9036483251351617
p01,AutoREG-lags_32-trend_ct-seasonal_False,0.1268019676208496,3.5947031989463665,2.616921502121128,4.125658783509389,0.8973703560827186,2.8157225095306573,2.2872871870700036,2.655142514889544,7.077626555127349,7.073371083926371,4.901649031961139,4.857376791493394,3.900257228605278,1.9549894787839228
p01,AutoREG-lags_32-trend_n-seasonal_False,0.1270585060119629,3.9282562889830177,2.4501397187316094,4.819812759548946,1.199929615678792,2.0189013872264976,2.8089989565367453,3.2368865855407987,5.904804130243212,4.18440801452301,2.568912081053123,1.4929760315668643,3.1467295972393283,1.443328485472103
p01,AutoREG-lags_32-trend_t-seasonal_False,0.12665009498596191,3.5947031989469296,2.623410823629207,5.888383191150255,2.573238267883679,0.7088299794002809,4.051807625099221,4.128561050031076,5.433860373912497,3.309049935798833,2.208664784947043,1.559722521912642,3.280021068428333,1.5654728601052383
p01,AutoREG-lags_36-trend_c-seasonal_False,0.12671780586242676,4.686929766412517,2.3154080997680375,4.036667684361238,1.018915461505911,3.55192247752694,2.253120014168272,2.563217579010298,6.6991158244083975,6.854929711649123,5.141167495075755,4.986696420020267,4.009826412173341,1.8768393544023565
p01,AutoREG-lags_36-trend_ct-seasonal_False,0.1269993782043457,4.0676759996908896,2.618392497957324,4.046417007228433,0.8816016473012093,2.794666487355997,2.3232609870248555,2.6007001062487953,7.01383512530977,7.018577822156191,4.850202539284108,4.849633397850842,3.914996692491674,1.9344911283500124
p01,AutoREG-lags_36-trend_n-seasonal_False,0.13651561737060547,4.686929766411785,2.3718203696786433,4.67696157966646,1.296730777070752,2.0899813241934497,2.7877650834535914,3.271313856405004,5.951968375539083,4.256743239800696,2.5230370733736676,1.4786949188087268,3.2174496694910784,1.4904936238384292
p01,AutoREG-lags_36-trend_t-seasonal_False,0.13664746284484863,4.067675999691479,2.6344938515263134,5.694456907517177,2.6359409272648775,0.7734929161892159,3.944348369590452,4.147188979840103,5.4865337171241375,3.419309775536433,2.1981197483618997,1.5934772512277238,3.3268216767154373,1.5374129671505339
